,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y_temp
4955,34.0,blue-collar,married,secondary,no,622.0,yes,no,unknown,21.0,may,145.0,1.0,-1.0,0.0,unknown,no
4956,35.0,management,married,tertiary,no,1336.0,no,no,unknown,21.0,may,59.0,2.0,-1.0,0.0,unknown,no
4957,32.0,blue-collar,single,secondary,no,1067.0,yes,no,unknown,21.0,may,39.0,2.0,-1.0,0.0,unknown,no
4958,35.0,entrepreneur,single,secondary,no,12961.0,yes,no,unknown,21.0,may,272.0,2.0,-1.0,0.0,unknown,no
4959,31.0,technician,married,secondary,no,141.0,yes,no,unknown,21.0,may,140.0,2.0,-1.0,0.0,unknown,no
4960,41.0,management,single,tertiary,no,1216.0,yes,no,unknown,21.0,may,53.0,3.0,-1.0,0.0,unknown,no
4961,31.0,services,married,secondary,no,891.0,yes,no,unknown,21.0,may,44.0,3.0,-1.0,0.0,unknown,no
4962,32.0,blue-collar,married,primary,no,131.0,yes,no,unknown,21.0,may,212.0,2.0,-1.0,0.0,unknown,no
4963,33.0,technician,married,primary,no,5.0,no,no,unknown,21.0,may,57.0,2.0,-1.0,0.0,unknown,no
4964,52.0,blue-collar,married,secondary,no,289.0,yes,no,unknown,21.0,may,45.0,13.0,-1.0,0.0,unknown,no
4965,32.0,blue-collar,single,secondary,no,15341.0,no,no,unknown,21.0,may,738.0,3.0,-1.0,0.0,unknown,no
4966,32.0,technician,married,secondary,no,901.0,yes,no,unknown,21.0,may,102.0,3.0,-1.0,0.0,unknown,no
4967,32.0,entrepreneur,married,tertiary,no,4465.0,yes,no,unknown,21.0,may,161.0,2.0,-1.0,0.0,unknown,no
4968,34.0,admin.,married,secondary,no,1191.0,yes,no,unknown,21.0,may,383.0,2.0,-1.0,0.0,unknown,no
4969,35.0,technician,single,tertiary,no,458.0,yes,no,unknown,21.0,may,1091.0,3.0,-1.0,0.0,unknown,no
4970,36.0,management,single,tertiary,no,1869.0,yes,no,unknown,21.0,may,122.0,2.0,-1.0,0.0,unknown,no
4971,37.0,self-employed,married,tertiary,no,2084.0,yes,no,unknown,21.0,may,137.0,2.0,-1.0,0.0,unknown,no
4972,32.0,technician,married,secondary,no,1389.0,yes,no,unknown,21.0,may,189.0,2.0,-1.0,0.0,unknown,no
4973,34.0,management,married,tertiary,no,0.0,yes,no,unknown,21.0,may,88.0,2.0,-1.0,0.0,unknown,no
4974,27.0,services,married,secondary,no,1303.0,yes,yes,unknown,21.0,may,364.0,1.0,-1.0,0.0,unknown,no
4975,33.0,management,married,tertiary,no,11149.0,yes,no,unknown,21.0,may,418.0,2.0,-1.0,0.0,unknown,no
4976,36.0,management,married,unknown,no,-35.0,yes,yes,unknown,21.0,may,17.0,2.0,-1.0,0.0,unknown,no
4977,37.0,blue-collar,married,primary,no,3242.0,yes,no,unknown,21.0,may,233.0,1.0,-1.0,0.0,unknown,no
4978,32.0,blue-collar,single,secondary,no,435.0,yes,no,unknown,21.0,may,373.0,2.0,-1.0,0.0,unknown,no
4979,32.0,blue-collar,single,secondary,no,2696.0,yes,no,unknown,21.0,may,445.0,1.0,-1.0,0.0,unknown,no
4980,29.0,blue-collar,single,secondary,no,0.0,no,no,unknown,21.0,may,623.0,1.0,-1.0,0.0,unknown,no
4981,34.0,blue-collar,married,primary,no,218.0,yes,yes,unknown,21.0,may,260.0,1.0,-1.0,0.0,unknown,no
4982,33.0,self-employed,divorced,secondary,no,892.0,yes,no,unknown,21.0,may,316.0,1.0,-1.0,0.0,unknown,no
4983,31.0,technician,married,tertiary,no,1410.0,yes,no,unknown,21.0,may,42.0,1.0,-1.0,0.0,unknown,no
4984,32.0,blue-collar,single,secondary,no,1721.0,yes,no,unknown,21.0,may,650.0,2.0,-1.0,0.0,unknown,no
4985,31.0,admin.,single,tertiary,no,1583.0,yes,no,unknown,21.0,may,207.0,1.0,-1.0,0.0,unknown,no
4986,33.0,technician,single,secondary,no,296.0,yes,no,unknown,21.0,may,226.0,1.0,-1.0,0.0,unknown,no
4987,38.0,management,married,tertiary,no,216.0,yes,no,unknown,21.0,may,1307.0,1.0,-1.0,0.0,unknown,no
4988,35.0,blue-collar,married,secondary,no,463.0,yes,no,unknown,21.0,may,104.0,1.0,-1.0,0.0,unknown,no
4989,37.0,management,married,tertiary,no,547.0,yes,yes,unknown,21.0,may,143.0,1.0,-1.0,0.0,unknown,no
4990,42.0,technician,divorced,secondary,no,2974.0,yes,no,unknown,21.0,may,187.0,5.0,-1.0,0.0,unknown,no
4991,34.0,self-employed,married,secondary,no,-370.0,yes,no,unknown,21.0,may,748.0,1.0,-1.0,0.0,unknown,no
4992,32.0,management,married,secondary,no,6217.0,yes,yes,unknown,21.0,may,486.0,2.0,-1.0,0.0,unknown,no
4993,28.0,admin.,married,secondary,no,170.0,yes,yes,unknown,21.0,may,492.0,1.0,-1.0,0.0,unknown,no
4994,29.0,management,married,secondary,no,-559.0,yes,yes,unknown,21.0,may,485.0,1.0,-1.0,0.0,unknown,no
4995,21.0,student,single,secondary,no,232.0,yes,no,unknown,21.0,may,110.0,2.0,-1.0,0.0,unknown,no
4996,31.0,management,single,tertiary,no,385.0,yes,no,unknown,21.0,may,304.0,1.0,-1.0,0.0,unknown,no
4997,34.0,blue-collar,married,secondary,no,5304.0,yes,no,unknown,21.0,may,51.0,2.0,-1.0,0.0,unknown,no
4998,35.0,management,single,tertiary,no,71.0,yes,no,unknown,21.0,may,836.0,12.0,-1.0,0.0,unknown,no
4999,32.0,technician,single,unknown,no,317.0,yes,no,unknown,21.0,may,394.0,2.0,-1.0,0.0,unknown,no
5000,32.0,management,single,tertiary,no,728.0,yes,no,unknown,21.0,may,125.0,1.0,-1.0,0.0,unknown,no
5001,38.0,services,married,tertiary,no,-121.0,yes,no,unknown,21.0,may,288.0,1.0,-1.0,0.0,unknown,no
5002,29.0,management,single,tertiary,no,330.0,yes,no,unknown,21.0,may,315.0,1.0,-1.0,0.0,unknown,no
5003,31.0,management,single,tertiary,no,825.0,yes,no,unknown,21.0,may,506.0,2.0,-1.0,0.0,unknown,yes
5004,36.0,management,single,tertiary,no,247.0,no,no,unknown,21.0,may,354.0,5.0,-1.0,0.0,unknown,no
5005,30.0,technician,divorced,secondary,no,3100.0,yes,no,unknown,21.0,may,154.0,4.0,-1.0,0.0,unknown,no
5006,33.0,self-employed,married,tertiary,no,1301.0,yes,no,unknown,21.0,may,184.0,2.0,-1.0,0.0,unknown,no
5007,32.0,blue-collar,married,primary,no,29050.0,yes,yes,unknown,21.0,may,563.0,2.0,-1.0,0.0,unknown,no
5008,27.0,blue-collar,single,secondary,no,1279.0,yes,yes,unknown,21.0,may,450.0,1.0,-1.0,0.0,unknown,no
5009,38.0,self-employed,married,tertiary,no,585.0,yes,no,unknown,21.0,may,34.0,3.0,-1.0,0.0,unknown,no
5010,38.0,management,married,tertiary,no,63.0,yes,no,unknown,21.0,may,518.0,1.0,-1.0,0.0,unknown,no
5011,28.0,unemployed,married,secondary,no,858.0,yes,no,unknown,21.0,may,371.0,1.0,-1.0,0.0,unknown,no
5012,40.0,services,divorced,secondary,no,0.0,no,no,unknown,21.0,may,111.0,4.0,-1.0,0.0,unknown,no
5013,34.0,services,single,secondary,no,581.0,yes,no,unknown,21.0,may,176.0,4.0,-1.0,0.0,unknown,no
5014,28.0,technician,single,secondary,no,2034.0,yes,no,unknown,21.0,may,196.0,1.0,-1.0,0.0,unknown,no
5015,35.0,technician,married,secondary,no,1.0,yes,yes,unknown,21.0,may,85.0,1.0,-1.0,0.0,unknown,no
5016,38.0,self-employed,single,secondary,no,1146.0,yes,no,unknown,21.0,may,91.0,2.0,-1.0,0.0,unknown,no
5017,34.0,technician,single,secondary,no,1091.0,yes,no,unknown,21.0,may,252.0,2.0,-1.0,0.0,unknown,no
5018,43.0,housemaid,married,secondary,no,-177.0,yes,no,unknown,21.0,may,172.0,2.0,-1.0,0.0,unknown,no
5019,30.0,management,married,tertiary,no,527.0,yes,yes,unknown,21.0,may,265.0,1.0,-1.0,0.0,unknown,no
5020,31.0,services,single,secondary,no,481.0,yes,no,unknown,21.0,may,114.0,2.0,-1.0,0.0,unknown,no
5021,29.0,admin.,single,secondary,no,5711.0,yes,yes,unknown,21.0,may,899.0,1.0,-1.0,0.0,unknown,no
5022,31.0,management,married,tertiary,no,1755.0,yes,no,unknown,21.0,may,588.0,2.0,-1.0,0.0,unknown,no
5023,25.0,blue-collar,single,secondary,no,491.0,yes,no,unknown,21.0,may,393.0,1.0,-1.0,0.0,unknown,no
5024,27.0,technician,married,secondary,no,2183.0,yes,yes,unknown,21.0,may,857.0,1.0,-1.0,0.0,unknown,yes
5025,34.0,technician,single,tertiary,no,299.0,yes,no,unknown,21.0,may,205.0,2.0,-1.0,0.0,unknown,no
5026,39.0,blue-collar,single,secondary,no,1961.0,no,no,unknown,21.0,may,216.0,1.0,-1.0,0.0,unknown,no
5027,38.0,management,married,tertiary,no,126.0,yes,no,unknown,21.0,may,164.0,2.0,-1.0,0.0,unknown,no
5028,27.0,management,single,secondary,no,967.0,yes,no,unknown,21.0,may,162.0,1.0,-1.0,0.0,unknown,no
5029,28.0,management,married,tertiary,no,395.0,no,no,unknown,21.0,may,178.0,1.0,-1.0,0.0,unknown,no
5030,33.0,technician,single,secondary,no,239.0,yes,no,unknown,21.0,may,127.0,1.0,-1.0,0.0,unknown,no
5031,48.0,blue-collar,divorced,primary,no,338.0,yes,no,unknown,21.0,may,38.0,12.0,-1.0,0.0,unknown,no
5032,32.0,blue-collar,married,primary,no,885.0,yes,no,unknown,21.0,may,127.0,2.0,-1.0,0.0,unknown,no
5033,32.0,blue-collar,married,secondary,no,564.0,yes,no,unknown,21.0,may,660.0,1.0,-1.0,0.0,unknown,no
5034,34.0,retired,married,primary,no,4499.0,no,no,unknown,21.0,may,1681.0,1.0,-1.0,0.0,unknown,yes
5035,34.0,services,married,secondary,no,603.0,yes,yes,unknown,21.0,may,1409.0,3.0,-1.0,0.0,unknown,no
5036,35.0,technician,married,secondary,yes,-29.0,yes,yes,unknown,21.0,may,208.0,3.0,-1.0,0.0,unknown,no
5037,32.0,blue-collar,married,secondary,no,-325.0,yes,yes,unknown,21.0,may,171.0,1.0,-1.0,0.0,unknown,no
5038,31.0,services,married,secondary,no,428.0,yes,no,unknown,21.0,may,272.0,1.0,-1.0,0.0,unknown,no
5039,32.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,21.0,may,143.0,2.0,-1.0,0.0,unknown,no
5040,28.0,blue-collar,single,primary,no,722.0,yes,no,unknown,21.0,may,150.0,1.0,-1.0,0.0,unknown,no
5041,33.0,management,single,tertiary,no,541.0,yes,yes,unknown,21.0,may,572.0,1.0,-1.0,0.0,unknown,no
5042,30.0,services,married,secondary,no,702.0,yes,no,unknown,21.0,may,573.0,1.0,-1.0,0.0,unknown,no
5043,39.0,technician,married,secondary,no,4444.0,yes,no,unknown,21.0,may,244.0,1.0,-1.0,0.0,unknown,no
5044,57.0,blue-collar,married,primary,no,42.0,yes,no,unknown,21.0,may,384.0,3.0,-1.0,0.0,unknown,no
5045,39.0,services,married,secondary,no,0.0,yes,yes,unknown,21.0,may,240.0,3.0,-1.0,0.0,unknown,no
5046,24.0,services,single,secondary,no,-148.0,yes,no,unknown,21.0,may,641.0,1.0,-1.0,0.0,unknown,no
5047,34.0,management,single,tertiary,no,1717.0,yes,no,unknown,21.0,may,269.0,2.0,-1.0,0.0,unknown,no
5048,32.0,services,divorced,secondary,no,1156.0,yes,no,unknown,21.0,may,488.0,1.0,-1.0,0.0,unknown,no
5049,32.0,management,married,tertiary,no,1330.0,yes,no,unknown,21.0,may,83.0,1.0,-1.0,0.0,unknown,no
5050,33.0,blue-collar,married,primary,no,754.0,yes,no,unknown,21.0,may,811.0,2.0,-1.0,0.0,unknown,no
5051,58.0,entrepreneur,married,tertiary,no,7198.0,yes,no,unknown,21.0,may,44.0,5.0,-1.0,0.0,unknown,no
5052,32.0,services,single,secondary,no,-198.0,yes,no,unknown,21.0,may,681.0,3.0,-1.0,0.0,unknown,yes
5053,28.0,unemployed,married,tertiary,no,264.0,yes,no,unknown,21.0,may,443.0,2.0,-1.0,0.0,unknown,no
5054,32.0,blue-collar,single,secondary,no,5252.0,yes,no,unknown,21.0,may,1162.0,2.0,-1.0,0.0,unknown,no
5055,30.0,technician,single,tertiary,no,1289.0,yes,no,unknown,21.0,may,1697.0,2.0,-1.0,0.0,unknown,yes
5056,28.0,blue-collar,married,secondary,no,-114.0,yes,no,unknown,21.0,may,244.0,2.0,-1.0,0.0,unknown,no
5057,32.0,technician,single,tertiary,no,4665.0,yes,no,unknown,21.0,may,860.0,2.0,-1.0,0.0,unknown,yes
5058,37.0,blue-collar,married,primary,no,5643.0,yes,no,unknown,21.0,may,295.0,1.0,-1.0,0.0,unknown,no
5059,29.0,blue-collar,single,secondary,no,445.0,yes,no,unknown,21.0,may,139.0,2.0,-1.0,0.0,unknown,no
5060,34.0,management,single,tertiary,no,2412.0,yes,no,unknown,21.0,may,154.0,2.0,-1.0,0.0,unknown,no
5061,28.0,services,single,secondary,no,348.0,yes,no,unknown,21.0,may,86.0,2.0,-1.0,0.0,unknown,no
5062,36.0,admin.,divorced,secondary,no,775.0,yes,no,unknown,21.0,may,65.0,3.0,-1.0,0.0,unknown,no
5063,37.0,blue-collar,single,unknown,no,-114.0,yes,no,unknown,21.0,may,113.0,2.0,-1.0,0.0,unknown,no
5064,35.0,management,married,tertiary,no,1631.0,yes,no,unknown,21.0,may,83.0,2.0,-1.0,0.0,unknown,no
5065,33.0,technician,single,secondary,no,313.0,yes,no,unknown,21.0,may,291.0,2.0,-1.0,0.0,unknown,no
5066,34.0,entrepreneur,single,secondary,no,0.0,yes,yes,unknown,21.0,may,394.0,2.0,-1.0,0.0,unknown,no
5067,35.0,blue-collar,married,primary,no,3468.0,yes,no,unknown,21.0,may,72.0,3.0,-1.0,0.0,unknown,no
5068,24.0,blue-collar,single,secondary,no,171.0,yes,no,unknown,21.0,may,151.0,2.0,-1.0,0.0,unknown,no
5069,35.0,blue-collar,married,primary,no,453.0,yes,no,unknown,21.0,may,312.0,2.0,-1.0,0.0,unknown,no
5070,40.0,blue-collar,married,primary,no,558.0,yes,yes,unknown,21.0,may,56.0,3.0,-1.0,0.0,unknown,no
5071,32.0,management,single,tertiary,no,1373.0,yes,no,unknown,21.0,may,474.0,2.0,-1.0,0.0,unknown,no
5072,38.0,blue-collar,single,primary,no,-100.0,yes,no,unknown,21.0,may,189.0,2.0,-1.0,0.0,unknown,no
5073,35.0,technician,married,secondary,no,432.0,yes,no,unknown,21.0,may,1094.0,55.0,-1.0,0.0,unknown,no
5074,39.0,admin.,married,secondary,no,1985.0,yes,no,unknown,21.0,may,155.0,4.0,-1.0,0.0,unknown,no
5075,34.0,blue-collar,married,secondary,no,223.0,yes,no,unknown,21.0,may,91.0,3.0,-1.0,0.0,unknown,no
5076,33.0,management,married,tertiary,no,2308.0,yes,no,unknown,21.0,may,232.0,2.0,-1.0,0.0,unknown,no
5077,36.0,self-employed,single,tertiary,no,4752.0,yes,no,unknown,21.0,may,446.0,2.0,-1.0,0.0,unknown,no
5078,52.0,admin.,married,secondary,no,1933.0,yes,no,unknown,21.0,may,153.0,4.0,-1.0,0.0,unknown,no
5079,58.0,retired,married,secondary,no,1402.0,yes,no,unknown,21.0,may,111.0,5.0,-1.0,0.0,unknown,no
5080,39.0,blue-collar,married,secondary,no,5853.0,yes,no,unknown,21.0,may,210.0,2.0,-1.0,0.0,unknown,no
5081,26.0,services,single,secondary,no,186.0,yes,no,unknown,21.0,may,72.0,3.0,-1.0,0.0,unknown,no
5082,34.0,blue-collar,married,secondary,no,1739.0,yes,yes,unknown,21.0,may,213.0,2.0,-1.0,0.0,unknown,no
5083,38.0,entrepreneur,married,tertiary,no,6704.0,yes,no,unknown,21.0,may,205.0,2.0,-1.0,0.0,unknown,no
5084,35.0,blue-collar,married,primary,no,1176.0,yes,no,unknown,21.0,may,166.0,2.0,-1.0,0.0,unknown,no
5085,30.0,services,single,secondary,no,-838.0,yes,no,unknown,21.0,may,142.0,2.0,-1.0,0.0,unknown,no
5086,33.0,management,single,tertiary,no,28.0,yes,no,unknown,21.0,may,237.0,2.0,-1.0,0.0,unknown,no
5087,38.0,self-employed,married,secondary,no,-165.0,yes,no,unknown,21.0,may,230.0,2.0,-1.0,0.0,unknown,no
5088,31.0,admin.,divorced,secondary,no,2294.0,yes,no,unknown,21.0,may,96.0,2.0,-1.0,0.0,unknown,no
5089,34.0,management,married,secondary,no,293.0,yes,no,unknown,21.0,may,162.0,3.0,-1.0,0.0,unknown,no
5090,33.0,management,married,secondary,no,609.0,yes,no,unknown,21.0,may,239.0,2.0,-1.0,0.0,unknown,no
5091,46.0,management,single,tertiary,no,-867.0,yes,yes,unknown,21.0,may,222.0,5.0,-1.0,0.0,unknown,no
5092,27.0,blue-collar,single,secondary,no,-208.0,yes,no,unknown,21.0,may,127.0,2.0,-1.0,0.0,unknown,no
5093,35.0,services,married,secondary,no,1317.0,yes,no,unknown,21.0,may,69.0,4.0,-1.0,0.0,unknown,no
5094,32.0,admin.,divorced,secondary,no,335.0,yes,no,unknown,21.0,may,501.0,2.0,-1.0,0.0,unknown,no
5095,33.0,blue-collar,single,primary,no,1390.0,yes,no,unknown,21.0,may,192.0,1.0,-1.0,0.0,unknown,no
5096,37.0,blue-collar,married,secondary,no,1818.0,yes,no,unknown,21.0,may,273.0,1.0,-1.0,0.0,unknown,no
5097,37.0,blue-collar,married,primary,no,543.0,yes,no,unknown,21.0,may,281.0,1.0,-1.0,0.0,unknown,no
5098,31.0,blue-collar,married,secondary,no,3298.0,yes,no,unknown,21.0,may,175.0,2.0,-1.0,0.0,unknown,no
5099,40.0,unemployed,single,secondary,no,1744.0,yes,no,unknown,21.0,may,465.0,11.0,-1.0,0.0,unknown,no
5100,34.0,blue-collar,single,secondary,no,89.0,yes,yes,unknown,21.0,may,175.0,2.0,-1.0,0.0,unknown,no
5101,32.0,blue-collar,married,primary,no,-175.0,yes,no,unknown,21.0,may,116.0,1.0,-1.0,0.0,unknown,no
5102,36.0,blue-collar,single,primary,no,20.0,yes,no,unknown,21.0,may,87.0,14.0,-1.0,0.0,unknown,no
5103,33.0,blue-collar,married,secondary,no,263.0,yes,no,unknown,21.0,may,206.0,3.0,-1.0,0.0,unknown,no
5104,27.0,admin.,single,secondary,no,392.0,yes,yes,unknown,21.0,may,292.0,2.0,-1.0,0.0,unknown,no
5105,31.0,blue-collar,married,secondary,no,1599.0,yes,no,unknown,21.0,may,49.0,1.0,-1.0,0.0,unknown,no
5106,32.0,technician,single,secondary,no,644.0,yes,yes,unknown,21.0,may,198.0,1.0,-1.0,0.0,unknown,no
5107,53.0,blue-collar,married,secondary,no,813.0,yes,no,unknown,21.0,may,23.0,16.0,-1.0,0.0,unknown,no
5108,39.0,management,married,tertiary,no,2271.0,yes,no,unknown,21.0,may,575.0,2.0,-1.0,0.0,unknown,no
5109,33.0,services,married,secondary,no,881.0,yes,no,unknown,21.0,may,67.0,5.0,-1.0,0.0,unknown,no
5110,48.0,blue-collar,married,primary,no,5366.0,yes,no,unknown,21.0,may,248.0,3.0,-1.0,0.0,unknown,no
5111,38.0,blue-collar,married,secondary,no,924.0,yes,no,unknown,21.0,may,108.0,2.0,-1.0,0.0,unknown,no
5112,33.0,blue-collar,married,primary,no,240.0,yes,no,unknown,21.0,may,373.0,3.0,-1.0,0.0,unknown,no
5113,38.0,blue-collar,single,secondary,no,578.0,yes,no,unknown,21.0,may,112.0,2.0,-1.0,0.0,unknown,no
5114,30.0,blue-collar,married,primary,no,1317.0,yes,no,unknown,21.0,may,395.0,2.0,-1.0,0.0,unknown,no
5115,39.0,blue-collar,married,primary,no,2003.0,yes,no,unknown,21.0,may,229.0,2.0,-1.0,0.0,unknown,no
5116,33.0,technician,married,secondary,no,946.0,yes,no,unknown,21.0,may,163.0,2.0,-1.0,0.0,unknown,no
5117,46.0,blue-collar,single,secondary,no,0.0,no,no,unknown,21.0,may,27.0,10.0,-1.0,0.0,unknown,no
5118,32.0,blue-collar,married,secondary,no,920.0,yes,no,unknown,21.0,may,135.0,2.0,-1.0,0.0,unknown,no
5119,33.0,self-employed,married,tertiary,no,1545.0,yes,no,unknown,21.0,may,357.0,2.0,-1.0,0.0,unknown,no
5120,28.0,services,single,secondary,no,-427.0,yes,yes,unknown,21.0,may,965.0,2.0,-1.0,0.0,unknown,no
5121,38.0,admin.,married,secondary,no,3732.0,yes,no,unknown,21.0,may,379.0,2.0,-1.0,0.0,unknown,no
5122,33.0,technician,single,tertiary,no,8874.0,no,yes,unknown,21.0,may,152.0,3.0,-1.0,0.0,unknown,no
5123,37.0,technician,single,secondary,no,7867.0,yes,no,unknown,21.0,may,36.0,2.0,-1.0,0.0,unknown,no
5124,32.0,management,single,tertiary,no,1756.0,yes,no,unknown,21.0,may,206.0,3.0,-1.0,0.0,unknown,no
5125,31.0,management,married,tertiary,no,4924.0,yes,no,unknown,21.0,may,389.0,2.0,-1.0,0.0,unknown,no
5126,32.0,technician,married,secondary,no,4174.0,yes,no,unknown,21.0,may,314.0,2.0,-1.0,0.0,unknown,no
5127,34.0,blue-collar,married,secondary,no,360.0,yes,no,unknown,21.0,may,66.0,2.0,-1.0,0.0,unknown,no
5128,32.0,services,married,secondary,no,255.0,yes,yes,unknown,21.0,may,86.0,2.0,-1.0,0.0,unknown,no
5129,34.0,technician,divorced,primary,no,3744.0,yes,no,unknown,21.0,may,489.0,2.0,-1.0,0.0,unknown,no
5130,37.0,management,married,tertiary,no,2205.0,no,no,unknown,21.0,may,85.0,4.0,-1.0,0.0,unknown,no
5131,31.0,technician,married,secondary,no,510.0,yes,no,unknown,21.0,may,117.0,3.0,-1.0,0.0,unknown,no
5132,30.0,blue-collar,married,unknown,no,198.0,yes,no,unknown,21.0,may,149.0,3.0,-1.0,0.0,unknown,no
5133,31.0,management,single,tertiary,no,24870.0,yes,no,unknown,21.0,may,634.0,2.0,-1.0,0.0,unknown,no
5134,32.0,blue-collar,married,secondary,no,43.0,yes,no,unknown,21.0,may,173.0,2.0,-1.0,0.0,unknown,no
5135,33.0,admin.,single,secondary,no,1779.0,yes,no,unknown,21.0,may,175.0,2.0,-1.0,0.0,unknown,no
5136,31.0,technician,married,secondary,no,589.0,yes,yes,unknown,21.0,may,151.0,1.0,-1.0,0.0,unknown,no
5137,31.0,blue-collar,married,secondary,no,664.0,yes,yes,unknown,21.0,may,987.0,3.0,-1.0,0.0,unknown,no
5138,28.0,services,single,secondary,no,115.0,yes,no,unknown,21.0,may,66.0,13.0,-1.0,0.0,unknown,no
5139,36.0,entrepreneur,married,secondary,no,352.0,yes,no,unknown,21.0,may,139.0,2.0,-1.0,0.0,unknown,no
5140,38.0,blue-collar,single,secondary,no,745.0,yes,no,unknown,21.0,may,281.0,15.0,-1.0,0.0,unknown,no
5141,31.0,admin.,single,secondary,no,5527.0,yes,no,unknown,21.0,may,132.0,1.0,-1.0,0.0,unknown,no
5142,31.0,services,single,secondary,no,629.0,yes,no,unknown,21.0,may,369.0,2.0,-1.0,0.0,unknown,no
5143,36.0,blue-collar,married,secondary,no,342.0,yes,yes,unknown,21.0,may,88.0,3.0,-1.0,0.0,unknown,no
5144,37.0,technician,single,secondary,no,3326.0,yes,no,unknown,21.0,may,799.0,1.0,-1.0,0.0,unknown,yes
5145,36.0,admin.,divorced,secondary,yes,-491.0,yes,yes,unknown,21.0,may,671.0,3.0,-1.0,0.0,unknown,no
5146,31.0,blue-collar,single,secondary,no,0.0,yes,no,unknown,21.0,may,397.0,9.0,-1.0,0.0,unknown,no
5147,34.0,services,married,secondary,no,286.0,yes,no,unknown,21.0,may,703.0,1.0,-1.0,0.0,unknown,no
5148,34.0,management,married,tertiary,no,4170.0,yes,no,unknown,21.0,may,935.0,1.0,-1.0,0.0,unknown,no
5149,32.0,admin.,married,secondary,no,76.0,yes,no,unknown,21.0,may,189.0,2.0,-1.0,0.0,unknown,no
5150,31.0,admin.,single,tertiary,no,-194.0,no,no,unknown,21.0,may,165.0,2.0,-1.0,0.0,unknown,no
5151,33.0,admin.,married,secondary,no,1499.0,yes,no,unknown,21.0,may,144.0,2.0,-1.0,0.0,unknown,no
5152,34.0,blue-collar,single,primary,no,245.0,yes,no,unknown,21.0,may,21.0,3.0,-1.0,0.0,unknown,no
5153,35.0,blue-collar,single,primary,no,49.0,yes,no,unknown,21.0,may,234.0,2.0,-1.0,0.0,unknown,no
5154,30.0,technician,married,secondary,no,4733.0,yes,no,unknown,21.0,may,81.0,2.0,-1.0,0.0,unknown,no
5155,36.0,blue-collar,married,primary,no,0.0,yes,no,unknown,21.0,may,59.0,2.0,-1.0,0.0,unknown,no
5156,26.0,management,single,tertiary,no,1284.0,yes,no,unknown,21.0,may,97.0,8.0,-1.0,0.0,unknown,no
5157,44.0,retired,married,primary,no,779.0,yes,no,unknown,21.0,may,233.0,3.0,-1.0,0.0,unknown,no
5158,23.0,blue-collar,single,primary,no,965.0,yes,no,unknown,21.0,may,1161.0,4.0,-1.0,0.0,unknown,no
5159,36.0,blue-collar,divorced,secondary,no,625.0,yes,no,unknown,21.0,may,265.0,2.0,-1.0,0.0,unknown,no
5160,39.0,blue-collar,married,primary,no,568.0,yes,no,unknown,21.0,may,173.0,3.0,-1.0,0.0,unknown,no
5161,49.0,blue-collar,married,secondary,no,913.0,yes,yes,unknown,21.0,may,178.0,3.0,-1.0,0.0,unknown,no
5162,38.0,blue-collar,married,secondary,no,622.0,yes,no,unknown,21.0,may,611.0,2.0,-1.0,0.0,unknown,yes
5163,51.0,management,married,secondary,no,140.0,yes,no,unknown,21.0,may,45.0,10.0,-1.0,0.0,unknown,no
5164,25.0,services,single,secondary,no,-61.0,yes,no,unknown,21.0,may,203.0,2.0,-1.0,0.0,unknown,no
5165,39.0,technician,married,secondary,no,4441.0,yes,no,unknown,21.0,may,86.0,2.0,-1.0,0.0,unknown,no
5166,31.0,blue-collar,married,secondary,no,1138.0,yes,yes,unknown,21.0,may,254.0,3.0,-1.0,0.0,unknown,no
5167,37.0,management,married,tertiary,no,0.0,yes,yes,unknown,21.0,may,72.0,5.0,-1.0,0.0,unknown,no
5168,27.0,technician,married,secondary,no,-147.0,yes,yes,unknown,21.0,may,239.0,4.0,-1.0,0.0,unknown,no
5169,32.0,blue-collar,married,primary,no,159.0,yes,no,unknown,21.0,may,207.0,3.0,-1.0,0.0,unknown,no
5170,34.0,blue-collar,married,primary,no,336.0,yes,no,unknown,21.0,may,713.0,4.0,-1.0,0.0,unknown,no
5171,46.0,blue-collar,married,secondary,no,2173.0,yes,no,unknown,21.0,may,98.0,5.0,-1.0,0.0,unknown,no
5172,37.0,blue-collar,married,primary,no,1455.0,yes,no,unknown,21.0,may,165.0,2.0,-1.0,0.0,unknown,no
5173,36.0,blue-collar,married,secondary,no,439.0,yes,no,unknown,21.0,may,260.0,5.0,-1.0,0.0,unknown,no
5174,32.0,blue-collar,married,secondary,no,783.0,yes,no,unknown,21.0,may,923.0,3.0,-1.0,0.0,unknown,yes
5175,31.0,blue-collar,single,primary,no,-280.0,no,no,unknown,21.0,may,281.0,3.0,-1.0,0.0,unknown,no
5176,53.0,blue-collar,married,secondary,no,1023.0,yes,no,unknown,21.0,may,150.0,3.0,-1.0,0.0,unknown,no
5177,33.0,technician,divorced,secondary,no,4369.0,yes,no,unknown,21.0,may,433.0,3.0,-1.0,0.0,unknown,no
5178,30.0,blue-collar,single,secondary,no,144.0,yes,no,unknown,21.0,may,202.0,3.0,-1.0,0.0,unknown,no
5179,31.0,housemaid,single,secondary,no,540.0,no,no,unknown,21.0,may,227.0,3.0,-1.0,0.0,unknown,no
